행정구역(시군구)별(1),연령별(1),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
행정구역(시군구)별(1),연령별(1),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
전국,65세,365310,341639,378148,469855,461926,462279,454406,424251,578745,521677,601242
전국,66세,370116,366153,338548,374910,466283,458484,459232,451649,421321,575151,518510
전국,67세,459873,370144,362391,335357,371513,462297,455104,455822,448083,418063,571001
전국,68세,380158,458664,365907,358373,331824,367970,458390,451417,451830,444324,414667
전국,69세,338584,378494,452571,361438,354342,328315,364485,454206,447042,447575,440196
전국,70세,351467,336468,373046,446100,356693,350145,324762,360660,449247,442396,443052
전국,71세,318759,348343,330796,366899,439452,351790,345780,320820,356256,444124,437426
전국,72세,297292,315287,341763,324843,360741,432445,346706,341109,316490,351623,438570
전국,73세,280869,293229,308794,334845,318589,354378,424994,341431,335832,311811,346700
전국,74세,269941,276153,286432,301656,327562,312164,347652,417209,335307,330238,306754
전국,75세,241804,264717,268922,279067,294276,319873,305254,340356,408443,328898,324245
전국,76세,208259,236147,257010,261025,271436,286684,312030,298017,332373,399138,322030
전국,77세,194485,202887,228327,248595,253041,263466,278572,303630,290050,323880,389497
전국,78세,162346,188498,195334,219926,239889,244739,254947,269899,294405,281424,315234
전국,79세,152215,156796,180752,187387,211121,230920,235740,245988,260703,284404,272536
전국,80세,140467,146053,149435,172233,179171,202109,221366,226441,236440,250659,274145
전국,81세,123521,134398,138348,141498,163594,170529,192707,211291,216390,226215,240644
전국,82세,108172,117531,126445,130156,133703,154892,161520,182857,200619,205546,215831
전국,83세,85584,102287,109721,118162,121912,125609,145662,152230,172333,189010,194701
전국,84세,76130,80310,94532,101583,109808,113597,117252,136311,142364,161164,177698
전국,85세,62673,70786,73372,86810,93689,101454,105050,108646,126316,131986,150234
전국,86세,63654,57821,63971,66364,79247,85776,92884,96441,99951,116012,122000
전국,87세,53386,58638,51722,57325,59633,71941,77619,84464,87556,90800,106083
전국,88세,38880,48613,51944,45613,50987,53239,64233,69702,75834,78557,82024
전국,89세,30538,35331,42416,45347,39874,44997,46917,56911,61796,67043,69976
전국,90세,23475,27433,30452,36487,39357,34671,39061,40825,49612,53871,58984
전국,91세,17770,20957,23271,25746,31165,34018,29503,33432,34909,42582,46791
전국,92세,15004,15746,17552,19357,21718,26487,28787,24961,28262,29257,36397
전국,93세,10912,13431,12884,14551,16107,18164,22015,24106,20684,23226,24602
전국,94세,7503,9877,10855,10445,11883,13352,14848,18164,19769,16758,19094
전국,95세,5655,6926,7828,8688,8387,9687,10820,12132,14616,15894,13588
전국,96세,4085,5519,5561,6184,6906,6751,7763,8766,9619,11613,12811
전국,97세,3059,4175,4369,4423,4946,5503,5344,6199,6922,7562,9225
전국,98세,1894,3310,3336,3490,3580,3975,4318,4286,4832,5392,5993
전국,99세,1269,2461,2583,2665,2838,2901,3169,3461,3305,3752,4274
전국,100세 이상,2599,11130,11634,12657,13793,15006,16209,17562,17850,18783,20160
